Table 1
Site,Latitude,Longitude,Labcode,Material,14C age ± 1σ,δ13C,Calibrated age range,RSL (m),Error (± m),Reference,Evidence,14C age ± 1σ,,
Wolf Glade,38.754,75.120,GX-16221,Salt peat,1885 ± 170,-20.1,2302-1414,-4.05,0.58,Fletcher et al. (1993),3,1885,170,-75.120
Wolf Glade,38.754,75.120,GX-16220,Sa,1910 ± 245,-19.7,2451-1301,-2.40,0.65,Fletcher et al. (1993),2,1910,145,-75.120
Wolf Glade,38.754,75.116,GX-15835,Salt peat,2095 ± 205,-26.5,2699-1571,-3.98,0.58,Fletcher et al. (1993),3,2095,205,-75.116
Wolf Glade,38.754,75.120,GX-16222,Sp,3250 ± 175,-15.7,3903-3001,-5.96,0.58,Fletcher et al. (1993),2,3250,175,-75.120
Wolf Glade,38.755,75.116,GX-16223,Sp,3460 ± 205,-19.4,4380-3254,-4.93,0.58,Fletcher et al. (1993),2,3460,205,-75.116
Wolf Glade,38.754,75.116,GX-15836,Salt peat,3805 ± 170,-26.7,4800-3718,-8.08,0.59,Fletcher et al. (1993),3,3805,170,-75.116
Wolf Glade,38.760,75.100,I-8119,Spartina,920 ± 90,,1043-677,-1.90,0.81,Belknap (1975),2,920,90,-75.100
Wall Island,38.802,75.204,I-4353,Salt peat,1990 ± 100,,2300-1706,-3.91,0.81,Belknap (1975),3,1990,100,-75.204
Lewes,38.778,75.174,I-4625,Salt peat,2330 ± 100,,2713-2127,-5.07,0.81,Belknap (1975),3,2330,100,-75.174
Wolf Glade,38.753,75.119,GX-16215,Sp,2945 ± 190,,3578-2720,-6.38,0.58,Fletcher et al. (1993),2,2945,190,-75.119
Wolf Glade,38.753,75.119,GX-16217,Salt peat,3130 ± 200,,3829-2849,-7.01,0.58,Fletcher et al. (1993),3,3130,200,-75.119
Wolf Glade,38.753,75.119,GX-16216,Salt peat,3195 ± 200,,3890-2880,-6.68,0.58,Fletcher et al. (1993),3,3195,200,-75.119
Wolf Glade,38.753,75.119,GX-16218,Salt peat,3465 ± 185,,4283-3271,-7.31,0.58,Fletcher et al. (1993),3,3465,185,-75.119
Wolf Glade,38.756,75.117,GX-15829,Salt peat,3630 ± 40,,4082-3840,-7.68,0.59,Fletcher et al. (1993),3,3630,40,-75.117
Wolf Glade,38.753,75.119,GX-16219,Salt peat,3620 ± 215,,4522-3404,-7.38,0.58,Fletcher et al. (1993),3,3620,215,-75.119
Wolf Glade,38.756,75.117,GX-15830,Sp,3870 ± 200,,4838-3728,-8.38,0.59,Fletcher et al. (1993),2,3870,200,-75.117
Wolf Glade,38.756,75.117,GX-15831,Salt peat,3860 ± 175,,4820-3836,-8.98,0.59,Fletcher et al. (1993),3,3860,175,-75.117
Wolf Glade,38.754,75.116,GX-15837,Jg,4210 ± 85,,4961-4453,-9.08,0.59,Fletcher et al. (1993),2,4210,85,-75.116
Wolf Glade,38.756,75.117,GX-15833,Sp/Ds,4420 ± 170,,5574-4574,-9.78,0.59,Fletcher et al. (1993),2,4420,170,-75.117
Cape Henlopen,38.783,75.078,Beta-5154,Sa,6360 ± 140,,7561-6945,-16.52,0.64,Ramsey and Baxter (1996),2,6360,140,-75.078
Cape Henlopen,38.785,75.094,R-4103,Salt peat,7050 ± 220,,8327-7510,-19.46,0.77,Belknap (1975),3,7050,220,-75.094
,,,,,,,,,,,,,,
Marine Limiting,,,,,,,,,,,,,,
Rehoboth Bay,38.669,75.070,R-4100,Mercenaria,2180 ± 150,,1941-1259,-6.83,0.60,Belknap (1975),4,2180,150,-75.070
Rehoboth Bay,38.669,75.068,R-4101,Cyrtopleura/Tagelus,2630 ± 190,,2660-1670,-6.86,0.60,Belknap (1975),4,2630,190,-75.068
Offshore Rehoboth,38.663,75.058,Beta-5157,Unidentified Shells,3310 ± 90,,3208-2722,-8.91,0.53,Ramsey and Baxter (1996),3,3310,90,-75.058
Rehoboth Beach,38.756,75.082,R-4104_a,C. vir,1950 ± 200,,1801-917,-7.32,0.60,Belknap (1975),4,1950,200,-75.082
Rehoboth Beach,38.756,75.082,R-4104_d,Unidentified Shells,3010 ± 180,,3042-2108,-8.43,0.80,Belknap (1975),3,3010,180,-75.082
,,,,,,,,,,,,,,
Terrestrial Limiting,,,,,,,,,,,,,,
Offshore Rehoboth,38.663,75.050,BETA-5158,Wood,6220 ± 90,,7407-6885,-10.86,0.51,Ramsey and Baxter (1996),2,6220,90,-75.050
Lewes,38.789,75.159,I-5206,Undiff peat,330 ± 90,,532-0,-0.18,0.59,Belknap (1975),3,330,90,-75.159
Lewes,38.781,75.174,I-4799,Undiff peat,2580 ± 95,,2849-2363,-4.08,0.59,Belknap (1975),3,2580,95,-75.174
Wolf Glade,38.754,75.116,GX-15838,Sc/Sr,4350 ± 85,-26.8,5289-4665,-7.98,0.54,Fletcher et al (1993),2,4350,85,-75.116
Wolf Glade,38.755,75.116,GX-16224,Fresh peat,4745 ± 245,-26.6,5995-4833,-8.88,0.54,Fletcher et al (1993),1,4745,245,-75.116
,,,,,,,,,,,,,,
Inner Chesapeake,,,,,,,,,,,,,,
Index Points,,,,,,,,,,,,,,
Blackwater,38.400,76.100,QC-861,Salt peat,2485 ± 125,,2846-2208,-3.64,0.34,Cinquemani et al. (1982),3,2485,125,-76.100
Blackwater,38.400,76.100,QC-862,Salt peat,2650 ± 180,,3240-2334,-4.12,0.33,Cinquemani et al. (1982),3,2650,180,-76.100
Blackwater,38.400,76.100,QC-860,Salt peat,2835 ± 140,,3357-2730,-3.34,0.34,Cinquemani et al. (1982),3,2835,140,-76.100
Blackwater,38.400,76.100,QC-863,Salt peat,3745 ± 120,,4436-3729,-5.57,0.35,Cinquemani et al. (1982),3,3745,120,-76.100
Radcliffe Creek,39.000,76.100,QC-859,Salt peat,1230 ± 155,,1411-795,-1.92,0.33,Cinquemani et al. (1982),3,1230,155,-76.100
Radcliffe Creek,39.000,76.100,QC-857,Salt peat,3365 ± 145,,4059-3265,-5.17,0.35,Cinquemani et al. (1982),3,3365,145,-76.100
Radcliffe Creek,39.000,76.100,QC-856,Salt peat,4505 ± 115,,5465-4855,-10.87,0.36,Cinquemani et al. (1982),3,4505,115,-76.100
,,,,,,,,,,,,,,
Marine Limiting,,,,,,,,,,,,,,
Patuxtent River,38.331,76.378,OS-18535,Shell,580 ± 35,-1.37,296-111,-10.27,0.67,Colman et al. (2002),3,580,35,-76.378
Patuxtent River,38.331,76.378,OS-18661,Shell,905 ± 60,-1.18,627-429,-10.40,0.67,Colman et al. (2002),3,905,60,-76.378
Patuxtent River,38.331,76.378,OS-20057,Shell,860 ± 40,-0.41,543-418,-11.02,0.67,Colman et al. (2002),3,860,40,-76.378
Patuxtent River,38.331,76.378,OS-18534,Shell,1210 ± 45,-7.57,871-665,-11.32,0.67,Colman et al. (2002),3,1210,45,-76.378
Patuxtent River,38.331,76.378,OS-18413,Shell,780 ± 40,-5.35,491-315,-9.77,0.67,Colman et al. (2002),3,780,40,-76.378
Patuxtent River,38.331,76.378,OS-18411,Shell,750 ± 45,-1.25,476-295,-10.06,0.67,Colman et al. (2002),3,750,45,-76.378
Patuxtent River,38.331,76.378,OS-18410,Shell,675 ± 45,-0.91,436-246,-10.34,0.67,Colman et al. (2002),3,675,45,-76.378
Town Point,38.544,76.427,OS-15674,Shell,1010 ± 85,-0.14,725-471,-25.63,0.67,Colman et al. (2002),3,1010,85,-76.427
Town Point,38.544,76.427,OS-15676,Shell,605 ± 40,-0.59,355-119,-25.73,0.67,Colman et al. (2002),3,605,40,-76.427
Town Point,38.544,76.427,OS-15675,Forams,1220 ± 80,-2.14,921-638,-26.33,0.67,Colman et al. (2002),3,1220,80,-76.427
Town Point,38.544,76.427,OS-15684,Forams,1310 ± 80,-2.1,1014-682,-26.83,0.67,Colman et al. (2002),3,1310,80,-76.427
Town Point,38.544,76.427,OS-15683,Forams,1200 ± 75,-2.08,905-633,-26.95,0.67,Colman et al. (2002),3,1200,75,-76.427
Town Point,38.544,76.427,OS-15677,Forams,1190 ± 70,-2.04,894-633,-27.23,0.67,Colman et al. (2002),3,1190,50,-76.427
Town Point,38.544,76.427,OS-19508,Forams E.e.,1050 ± 180,,957-299,-27.23,0.67,Colman et al. (2002),4,1050,180,-76.427
Town Point,38.544,76.427,OS-17874,Forams E.s.,1320 ± 195,-2.54,1251-541,-27.23,0.67,Colman et al. (2002),4,1320,195,-76.427
Town Point,38.544,76.427,OS-15682,Shell,2100 ± 80,-0.24,1875-1492,-27.83,0.67,Colman et al. (2002),3,2100,80,-76.427
Town Point,38.544,76.427,OS-17881,Forams E.e,2090 ± 30,-2.18,1771-1562,-28.03,0.67,Colman et al. (2002),4,2090,30,-76.427
Town Point,38.544,76.427,OS-17884,Forams E.s.,2090 ± 55,-2.3,1809-1529,-28.03,0.67,Colman et al. (2002),4,2090,55,-76.427
Town Point,38.544,76.427,OS-15686,Forams,1290 ± 75,-2.07,973-674,-28.13,0.67,Colman et al. (2002),3,1290,75,-76.427
Town Point,38.544,76.427,OS-15687,Shell,1850 ± 80,0.32,1580-1251,-28.13,0.67,Colman et al. (2002),3,1850,80,-76.427
Town Point,38.544,76.427,OS-15685,Forams,2090 ± 70,-1.39,1847-1506,-28.33,0.67,Colman et al. (2002),3,2090,70,-76.427
Town Point,38.544,76.427,OS-15690,Forams,2570 ± 70,-0.97,2418-2049,-28.45,0.67,Colman et al. (2002),3,2570,70,-76.427
Town Point,38.544,76.427,OS-15678,Gastropod,1130 ± 80,-0.07,857-542,-29.03,0.67,Colman et al. (2002),3,1130,80,-76.427
Town Point,38.544,76.427,CAMS-43708,Shell,640 ± 50,,413-143,-26.15,0.67,Colman et al. (2002),3,640,50,-76.427
Town Point,38.544,76.427,CAMS-43709,Shell,1160 ± 40,,788-638,-27.54,0.67,Colman et al. (2002),3,1160,40,-76.427
Town Point,38.544,76.427,CAMS-43710,Shell,1980 ± 50,,1677-1403,-28.62,0.67,Colman et al. (2002),3,1980,50,-76.427
Town Point,38.538,76.430,OS-18409,Shell,625 ± 35,-0.72,366-142,-23.11,0.67,Colman et al. (2002),3,625,35,-76.430
Town Point,38.538,76.430,OS-18532,Shell,535 ± 35,-1.04,266-0,-23.88,0.67,Colman et al. (2002),3,535,35,-76.430
Town Point,38.538,76.430,OS-18660,Shell,815 ± 45,-0.4,516-332,-24.20,0.67,Colman et al. (2002),3,815,45,-76.430
Town Point,38.538,76.430,OS-18533,Shell,3030 ± 35,0.13,2886-2723,-26.14,0.67,Colman et al. (2002),3,3030,35,-76.430
Town Point,38.538,76.430,OS-21266,Forams,3090 ± 90,-0.81,3125-2703,-26.83,0.67,Colman et al. (2002),3,3090,90,-76.430
Town Point,38.538,76.430,OS-18662,Shell,3360 ± 100,-0.73,3446-2937,-26.88,0.67,Colman et al. (2002),3,3360,100,-76.430
Mayo,38.878,76.446,OS-18412,Shell,1400 ± 40,-2.68,1052-854,-9.32,0.66,Colman et al. (2002),3,1400,40,-76.446
Mayo,38.878,76.446,OS-18900,Shell,1260 ± 30,-3.36,893-723,-9.28,0.66,Colman et al. (2002),3,1260,30,-76.446
Mayo,38.878,76.446,OS-18528,Shell,1520 ± 40,-2.97,1174-958,-9.52,0.66,Colman et al. (2002),3,1520,40,-76.446
Mayo,38.878,76.446,OS-18524,Shell,1750 ± 35,-5.32,1375-1234,-10.18,0.66,Colman et al. (2002),3,1750,35,-76.446
Mayo,38.878,76.446,OS-18523,Shell,1880 ± 35,-2.43,1517-1332,-10.54,0.66,Colman et al. (2002),3,1880,35,-76.446
Mayo,38.878,76.446,OS-18902,Shell,1970 ± 30,-2.01,1615-1412,-10.94,0.66,Colman et al. (2002),3,1970,30,-76.446
Mayo,38.878,76.446,OS-18527,Shell,2050 ± 45,-1.79,1748-1505,-11.25,0.66,Colman et al. (2002),3,2050,45,-76.446
Mayo,38.878,76.446,OS-18901,Shell,2030 ± 35,-2.05,1696-1506,-11.33,0.66,Colman et al. (2002),3,2030,35,-76.446
Mayo,38.878,76.446,OS-18529,Shell,2230 ± 50,-2.29,1957-1700,-11.70,0.66,Colman et al. (2002),3,2230,50,-76.446
Mayo,38.878,76.446,OS-18526,Shell,2290 ± 35,-2.4,1996-1805,-11.92,0.66,Colman et al. (2002),3,2290,35,-76.446
Mayo,38.878,76.441,OS-21262,Shell,2780 ± 75,-3.14,2701-2332,-12.47,0.66,Colman et al. (2002),3,2780,75,-76.441
Mayo,38.878,76.441,OS-20056,Shell,3760 ± 55,-1.63,3849-3547,-13.90,0.66,Colman et al. (2002),3,3760,55,-76.441
Mayo,38.879,76.440,OS-20052,Shell,4410 ± 45,-1.3,4769-4422,-14.40,0.77,Colman et al. (2002),3,4410,45,-76.440
Mayo,38.879,76.440,OS-20054,Shell,5240 ± 55,-2.02,5719-5471,-14.75,0.77,Colman et al. (2002),3,5240,55,-76.440
Mayo,38.879,76.440,OS-20053,Oyster,5340 ± 40,-2.75,5832-5598,-14.75,0.77,Colman et al. (2002),4,5340,40,-76.440
Mayo,38.879,76.440,OS-20055,Oyster,6060 ± 55,-3.52,6628-6348,-15.33,0.77,Colman et al. (2002),4,6060,55,-76.440
Mayo,38.879,76.440,OS-21270,Shell,6850 ± 110,-4.26,7557-7160,-16.01,0.77,Colman et al. (2002),3,6850,110,-76.440
Mayo,38.879,76.440,OS-25830,Oyster,7180 ± 40,-4.66,7735-7564,-16.26,0.77,Colman et al. (2002),4,7180,40,-76.440
Mayo,38.887,76.392,OS-19213,Shell,320 ± 60,-0.65,121-0,-28.06,0.66,Colman et al. (2002),3,320,60,-76.392
Mayo,38.887,76.392,OS-19212,Shell,325 ± 60,-0.04,124-0,-28.56,0.66,Colman et al. (2002),3,325,60,-76.392
Mayo,38.887,76.392,OS-19216,Shell,325 ± 30,-0.4,52-0,-29.17,0.66,Colman et al. (2002),3,325,30,-76.392
Mayo,38.887,76.392,OS-19940,Shell,555 ± 35,-0.6,278-0,-29.88,0.66,Colman et al. (2002),3,555,35,-76.392
Mayo,38.887,76.392,OS-19215,Shell,725 ± 55,-0.87,471-273,-30.54,0.66,Colman et al. (2002),3,725,55,-76.392
Mayo,38.887,76.392,OS-19214,Shell,1150 ± 85,-1.03,883-555,-31.71,0.66,Colman et al. (2002),3,1150,85,-76.392
Mayo,38.887,76.392,OS-21226,Shell,610 ± 30,-0.87,311-139,-30.10,0.66,Colman et al. (2002),3,610,30,-76.392
Mayo,38.887,76.392,OS-21381,Shell,745 ± 35,-0.57,464-299,-30.83,0.66,Colman et al. (2002),3,745,35,-76.392
Mayo,38.887,76.392,OS-21382,Shell,1150 ± 40,-0.68,780-634,-31.69,0.66,Colman et al. (2002),3,1150,40,-76.392
Mayo,38.887,76.392,OS-21227,Shell,1240 ± 30,-1.29,880-701,-31.99,0.66,Colman et al. (2002),3,1240,30,-76.392
Mayo,38.887,76.392,OS-21383,Shell,1600 ± 35,-0.9,1251-1064,-32.87,0.66,Colman et al. (2002),3,1600,35,-76.392
Mayo,38.887,76.392,OS-21384,Shell,2050 ± 40,-1.73,1728-1512,-33.79,0.66,Colman et al. (2002),3,2050,40,-76.392
Mayo,38.887,76.392,OS-21228,Shell,2210 ± 35,-0.77,1901-1704,-34.47,0.66,Colman et al. (2002),3,2210,35,-76.392
Mayo,38.887,76.392,OS-21229,Shell,2500 ± 35,-0.74,2290-2058,-34.94,0.66,Colman et al. (2002),3,2500,35,-76.392
Mayo,38.887,76.392,OS-21385,Shell,4230 ± 40,-0.18,4440-4185,-35.34,0.66,Colman et al. (2002),3,4230,40,-76.392
Mayo,38.887,76.392,OS-21230,Shell,5530 ± 40,-0.7,6020-5781,-36.18,0.66,Colman et al. (2002),3,5530,40,-76.392
Mayo,38.887,76.392,OS-21231,Shell,5690 ± 40,-0.14,6208-5976,-37.45,0.67,Colman et al. (2002),3,5690,40,-76.392
Mayo,38.887,76.392,OS-21232,Shell,5960 ± 40,-0.08,6463-6280,-38.74,0.67,Colman et al. (2002),3,5960,40,-76.392
Mayo,38.887,76.392,OS-21233,Shell,5980 ± 40,0.02,6485-6290,-39.14,0.67,Colman et al. (2002),3,5980,40,-76.392
Mayo,38.887,76.392,OS-21488,Shell,6250 ± 35,-0.74,6801-6603,-41.54,0.67,Colman et al. (2002),3,6250,35,-76.392
Mayo,38.887,76.392,OS-21386,Shell,6290 ± 35,-3.73,6850-6649,-43.21,0.68,Colman et al. (2002),3,6290,35,-76.392
Mayo,38.887,76.392,OS-21489,Shell,8670 ± 45,-3.53,9457-9229,-44.10,0.68,Colman et al. (2002),3,8670,45,-76.392
Mayo,38.887,76.392,OS-21387,Oyster,6660 ± 45,-1.04,7298-7072,-44.10,0.68,Colman et al. (2002),4,6660,45,-76.392
Mayo,38.887,76.392,OS-21388,Shell,7050 ± 40,-1.49,7611-7448,-44.21,0.68,Colman et al. (2002),3,7050,40,-76.392
Mayo,38.887,76.392,OS-21389,Shell,7100 ± 45,-1.5,7663-7486,-44.36,0.68,Colman et al. (2002),3,7100,45,-76.392
Potomac River,38.028,76.220,CAMS-39237,Shell,540 ± 50,0.1,276-0,-23.38,0.70,Colman et al. (2002),3,540,50,-76.220
Potomac River,38.028,76.220,CAMS-43711,Shell,990 ± 40,,643-512,-24.20,0.68,Colman et al. (2002),3,990,40,-76.220
Potomac River,38.028,76.220,CAMS-39238,Gastropod,1240 ± 50,0.1,896-681,-26.06,0.68,Colman et al. (2002),3,1240,50,-76.220
Potomac River,38.028,76.220,OS-15679,Shell,540 ± 30,0.01,266-0,-22.76,0.68,Colman et al. (2002),3,540,30,-76.220
Potomac River,38.028,76.220,OS-15680,Shell,885 ± 35,-0.29,555-440,-23.56,0.68,Colman et al. (2002),3,885,35,-76.220
Potomac River,38.028,76.220,OS-15681,Shell,1150 ± 25,0.01,753-648,-24.06,0.68,Colman et al. (2002),3,1150,25,-76.220
Potomac River,38.028,76.220,OS-17242,Forams,1230 ± 30,-1.72,870-690,-24.24,0.68,Colman et al. (2002),3,1230,30,-76.220
Potomac River,38.028,76.220,OS-15689,Shell,1530 ± 70,0.1,1236-933,-24.92,0.68,Colman et al. (2002),3,1530,70,-76.220
Potomac River,38.028,76.220,OS-17508,Forams,2450 ± 256,-2.41,2723-1515,-25.26,0.68,Colman et al. (2002),3,2450,256,-76.220
Potomac River,38.028,76.220,OS-17241,Forams,2400 ± 85,-1.94,2280-1846,-25.87,0.68,Colman et al. (2002),3,2400,85,-76.220
Potomac River,38.031,76.215,OS-21487,Shell,855 ± 25,-0.42,522-439,-24.16,0.68,Colman et al. (2002),3,855,25,-76.215
Potomac River,38.031,76.215,OS-21670,Shell,4100 ± 45,0.11,4296-3984,-25.83,0.68,Colman et al. (2002),3,4100,45,-76.215
Potomac River,38.031,76.215,OS-21671,Shell,4470 ± 45,-0.13,4798-4521,-27.69,0.68,Colman et al. (2002),3,4470,45,-76.215
Potomac River,38.031,76.215,OS-25826,Shell,4590 ± 55,0.14,4952-4627,-28.83,0.68,Colman et al. (2002),3,4590,55,-76.215
Potomac River,38.031,76.215,OS-21664,Shell,6130 ± 55,0.2,6698-6420,-29.72,0.68,Colman et al. (2002),3,6130,55,-76.215
Potomac River,38.031,76.215,OS-21665,Shell,6430 ± 65,0.18,7113-6746,-30.29,0.68,Colman et al. (2002),3,6430,65,-76.215
Potomac River,38.031,76.215,OS-25827,Shell,6540 ± 45,0.7,7171-6924,-30.96,0.68,Colman et al. (2002),3,6540,45,-76.215
Potomac River,38.031,76.215,OS-21666,Shell,9150 ± 65,-8.09,10144-9697,-30.96,0.68,Colman et al. (2002),3,9150,65,-76.215
Potomac River,38.031,76.215,OS-25828,Shell,8150 ± 55,-1.94,8853-8474,-31.55,0.68,Colman et al. (2002),3,8150,55,-76.215
Potomac River,38.031,76.215,OS-21667,Shell,7080 ± 60,0.37,7666-7446,-31.88,0.68,Colman et al. (2002),3,7080,60,-76.215
Potomac River,38.031,76.215,OS-25829,Shell,8930 ± 65,-7.27,9802-9460,-33.49,0.69,Colman et al. (2002),3,8930,65,-76.215
Potomac River,38.031,76.215,OS-21668,Shell,9400 ± 100,-9.66,10504-9963,-33.57,0.69,Colman et al. (2002),3,9400,100,-76.215
Potomac River,38.053,76.221,OS-21669,Shell,9350 ± 70,-7.57,10393-9958,-22.72,0.68,Colman et al. (2002),3,9350,70,-76.221
Potomac River,38.053,76.221,OS-21486,Shell,9670 ± 50,-10.62,10631-10414,-23.29,0.68,Colman et al. (2002),3,9670,50,-76.221
,,,,,,,,,,,,,,
Eastern Shore,,,,,,,,,,,,,,
Index Points,,,,,,,,,,,,,,
Oyster,37.287,75.917,OS-70464,Salt peat,1461 ± 31,,1398-1303,-1.35,0.26,Engelhart et al. (2009),1,1461,31,-75.917
Magothy Bay,37.145,75.946,OS-70465,Seed in salt peat,2213 ± 18,-27.8,2316-2152,-2.69,0.26,Engelhart et al. (2009),1,2213,18,-75.946
Magothy Bay,37.145,75.946,OS-70466,Salt peat,1598 ± 14,-21.1,1532-1416,-2.15,0.26,Engelhart et al. (2009),1,1598,14,-75.946
Boxtree Farm,37.396,75.867,OS-70467,Salt peat,1537 ± 23,-22.6,1518-1366,-1.62,0.26,Engelhart et al. (2009),1,1537,23,-75.867
Metompkin Island,37.750,75.560,B-1952,Juncus peat,4620 ± 80,,5582-5048,-7.02,0.47,Finkelstein and Ferland (1987),2,4620,80,-75.560
Assawoman Island,37.810,75.520,B-2662,Juncus peat,3580 ± 60,,4078-3700,-5.83,0.47,Finkelstein and Ferland (1987),2,3580,60,-75.520
Metompkin Island,37.750,75.560,W-4788,Juncus peat,2200 ± 80,,2347-2003,-2.87,0.47,Finkelstein and Ferland (1987),2,2200,80,-75.560
Assawoman Island,37.810,75.520,B-2659,Sa,650 ± 60,,683-539,-1.11,0.44,Finkelstein and Ferland (1987),2,650,60,-75.520
Assawoman Island,37.810,75.520,B-2660,Sa,700 ± 60,,732-552,-0.80,0.44,Finkelstein and Ferland (1987),2,700,60,-75.520
Metomkin Island,37.750,75.560,B-2663,Sa,1180 ± 60,,1261-967,-1.25,0.44,Finkelstein and Ferland (1987),2,1180,60,-75.560
Metomkin Island,37.750,75.560,B-1951,Sa,1660 ± 70,,1719-1393,-1.88,0.44,Finkelstein and Ferland (1987),2,1660,70,-75.560
Magothy Bay,37.150,75.900,B-1948,Sp,1430 ± 80,,1520-1182,-1.03,0.44,Finkelstein and Ferland (1987),2,1430,80,-75.900
Custis Neck,37.622,75.678,GrN-16341,HM peat,4470 ± 50,,5303-4891,-8.46,0.47,van de Plassche (1990),3,4470,50,-75.678
Custis Neck,37.622,75.678,GrN-16340,HM peat,4445 ± 40,,5286-4878,-8.42,0.47,van de Plassche (1990),3,4445,40,-75.678
Custis Neck,37.622,75.678,GrN-16339,HM peat,4430 ± 40,,5279-4871,-8.00,0.47,van de Plassche (1990),3,4430,40,-75.678
,,,,,,,,,,,,,,
Marine Limiting,,,,,,,,,,,,,,
Parramore Island,37.580,75.650,W-4792,C. vir,600 ± 60,,397-0,-2.57,0.44,Finkelstein and Ferland (1987),4,600,60,-75.650
Parramore Island,37.580,75.650,B-1955,C. vir,1380 ± 90,,1130-727,-1.66,0.44,Finkelstein and Ferland (1987),4,1380,90,-75.650
Parramore Island,37.580,75.650,W-4787,C. vir,2900 ± 110,,2888-2342,-5.16,0.44,Finkelstein and Ferland (1987),4,2900,110,-75.650
Hog Island,37.430,75.760,B-2664,C. vir,450 ± 50,,226-0,-1.30,0.44,Finkelstein and Ferland (1987),4,450,50,-75.760
Hog Island,37.430,75.760,B-2665,C. vir,890 ± 50,,607-430,-1.40,0.44,Finkelstein and Ferland (1987),4,890,50,-75.760
Cobb Island,37.350,75.810,B-1957,C. vir,890 ± 60,,624-413,-1.99,0.44,Finkelstein and Ferland (1987),4,890,60,-75.810
Cobb Island,37.350,75.810,B-1958,C. vir,610 ± 70,,419-0,-1.54,0.44,Finkelstein and Ferland (1987),4,610,70,-75.810
,,,,,,,,,,,,,,
Terrestrial Limiting,,,,,,,,,,,,,,
Wachapreague,37.580,75.650,ML-191,Undiff peat,2550 ± 70,,2767-2365,-1.92,0.53,Newman and Rusnak (1965),3,2550,70,-75.650
Wachapreague,37.580,75.650,ML-192,Undiff peat,5120 ± 145,,6260-5592,-5.17,0.53,Newman and Rusnak (1965),3,5120,145,-75.650
Wachapreague,37.580,75.650,ML-193,Undiff peat,3160 ± 195,,3835-2871,-3.73,0.54,Newman and Rusnak (1965),3,3160,195,-75.650
Wachapreague,37.580,75.650,ML-193,Undiff peat,3390 ± 75,,3834-3464,-3.73,0.54,Newman and Rusnak (1965),3,3390,75,-75.650
Wachapreague,37.580,75.650,ML-194,Undiff peat,4350 ± 75,,5284-4728,-6.26,0.53,Newman and Rusnak (1965),3,4350,75,-75.650
Magothy Bay,37.150,75.900,B-1950,Wood,1740 ± 100,,1873-1415,0.10,0.10,Finkelstein and Ferland (1987),2,1740,100,-75.900
,,,,,,,,,,,,,,
Northern North Carolina,,,,,,,,,,,,,,
Index Points,,,,,,,,,,,,,,
Frisco,35.260,75.520,OS-39722,Salt peat,205 ± 40,,310-0,-0.71,0.70,Horton et al. (2009),3,205,40,-75.520
Hatteras Island,35.230,75.680,Beta-187692,Salt peat,250 ± 40,-26.3,436-0,-0.86,0.54,Horton et al. (2009),3,250,40,-75.680
Hatteras Island,35.520,75.480,OS-54058,Salt peat,265 ± 35,-22.49,456-0,-0.54,0.20,Horton et al. (2009),3,265,35,-75.480
Northern Outer Banks,35.970,75.660,Beta-187694,Salt peat,1580 ± 40,-23,1548-1382,-1.78,0.20,Horton et al. (2009),3,1580,40,-75.660
Pamlico Sound,35.220,75.660,Beta-187689,Salt peat,500 ± 40,-26.6,630-496,-0.66,0.54,Horton et al. (2009),3,500,40,-75.660
Sand Point,35.880,75.680,OS-43066,Salt peat,185 ± 30,-24.28,300-0,-0.56,0.20,Kemp (2009),1,185,30,-75.680
Sand Point,35.880,75.680,OS-43067,Salt peat,900 ± 50,-27.27,927-727,-1.14,0.20,Kemp (2009),1,900,50,-75.680
Sand Point,35.880,75.680,OS-43068,Salt peat,1520 ± 40,-25.55,1521-1333,-1.84,0.54,Kemp (2009),1,1520,40,-75.680
Sand Point,35.880,75.680,OS-43069,Salt peat,1920 ± 45,-21.98,1986-1734,-2.28,0.20,Kemp (2009),1,1920,45,-75.680
Sand Point,35.880,75.680,OS-43070,Salt peat,2090 ± 35,-22.92,2151-1951,-2.38,0.20,Kemp (2009),1,2090,35,-75.680
Sand Point,35.880,75.680,OS-43071,Salt peat,2420 ± 35,-26.52,2599-2349,-2.70,0.20,Kemp (2009),1,2420,35,-75.680
Sand Point,35.880,75.680,OS-43266,Salt peat,2470 ± 45,-25.47,2715-2363,-3.00,0.20,Kemp (2009),1,2470,45,-75.680
Sand Point,35.880,75.680,OS-58902 ,Salt peat,315 ± 25,-27.33,461-305,-0.69,0.20,Kemp (2009),1,315,25,-75.680
Sand Point,35.880,75.680,OS-58897 ,Salt peat,535 ± 30,-26.67,632-512,-0.81,0.20,Kemp (2009),1,535,30,-75.680
Sand Point,35.880,75.680,OS-58901 ,Salt peat,910 ± 30,-27,917-743,-1.26,0.20,Kemp (2009),1,910,30,-75.680
Sand Point,35.880,75.680,OS-58896 ,Salt peat,1000 ± 25,-14.08,964-800,-1.40,0.20,Kemp (2009),1,1000,25,-75.680
Sand Point,35.880,75.680,OS-58713 ,Salt peat,1080 ± 30,-13.26,1057-933,-1.50,0.20,Kemp (2009),1,1080,30,-75.680
Sand Point,35.880,75.680,OS-58712 ,Salt peat,1190 ± 30,-13.4,1230-1006,-1.71,0.20,Kemp (2009),1,1190,30,-75.680
Sand Point,35.880,75.680,OS-58711 ,Salt peat,1600 ± 25,-13.28,1539-1413,-1.99,0.20,Kemp (2009),1,1600,25,-75.680
